,s1_1,s2_1,s1_2,s2_2,s1_3,s2_3
149,0.5085085085085085,0.5095085085085085,1.941941941941942,1.9429419419419418,,1.49412012012012
150,0.5045045045045045,0.5055045045045045,1.937937937937938,1.938937937937938,,1.490117117117117
151,0.5005005005005005,0.5015005005005005,1.9339339339339339,1.9349339339339338,,1.482111111111111
152,0.4964964964964965,0.4974964964964965,1.92992992992993,1.9309299299299298,,1.478108108108108
153,0.48848848848848847,0.48948848848848847,1.9259259259259258,1.9269259259259257,,1.470102102102102
154,0.4844844844844845,0.4854844844844845,1.921921921921922,1.9229219219219218,,1.462096096096096
155,0.4804804804804805,0.4814804804804805,1.917917917917918,1.9189179179179179,,1.4580930930930929
156,0.47647647647647645,0.47747647647647645,1.9139139139139139,1.9149139139139137,,1.450087087087087
157,0.46846846846846846,0.46946846846846846,1.90990990990991,1.9109099099099098,,1.446084084084084
158,0.46446446446446443,0.46546446446446443,1.9059059059059058,1.9069059059059057,,1.438078078078078
159,0.46046046046046046,0.46146046046046046,1.901901901901902,1.9029019019019018,,1.4300720720720719
160,0.45245245245245247,0.45345245245245247,1.897897897897898,1.8988978978978979,,1.426069069069069
161,0.44844844844844844,0.44944844844844845,1.8938938938938938,1.8948938938938937,,1.4180630630630628
162,0.44044044044044045,0.44144044044044045,1.88988988988989,1.8908898898898898,,1.410057057057057
163,0.4364364364364364,0.4374364364364364,1.8858858858858858,1.8868858858858857,,1.406054054054054
164,0.43243243243243246,0.43343243243243246,1.8818818818818819,1.8828818818818818,,1.398048048048048
165,0.4244244244244244,0.4254244244244244,1.877877877877878,1.8788778778778779,,1.3900420420420418
166,0.4164164164164164,0.4174164164164164,1.8738738738738738,1.8748738738738737,,1.386039039039039
167,0.4124124124124124,0.4134124124124124,1.86986986986987,1.8708698698698698,,1.3780330330330328
168,0.4044044044044044,0.4054044044044044,1.86986986986987,1.8708698698698698,,1.370027027027027
169,0.40040040040040037,0.40140040040040037,1.8658658658658658,1.8668658658658657,,1.3620210210210209
170,0.3923923923923924,0.3933923923923924,1.8618618618618619,1.8628618618618618,,1.354015015015015
171,0.3843843843843844,0.3853843843843844,1.8578578578578577,1.8588578578578576,,1.3500120120120118
172,0.3763763763763764,0.3773763763763764,1.8538538538538538,1.8548538538538537,,1.342006006006006
173,0.37237237237237236,0.37337237237237236,1.84984984984985,1.8508498498498498,,1.3339999999999999
174,0.36436436436436437,0.36536436436436437,1.8458458458458458,1.8468458458458457,,1.325993993993994
175,0.3563563563563564,0.3573563563563564,1.8418418418418419,1.8428418418418417,,1.3179879879879879
176,0.3483483483483483,0.3493483483483483,1.8378378378378377,1.8388378378378376,,1.3099819819819818
177,0.34034034034034033,0.34134034034034033,1.8338338338338338,1.8348338338338337,,1.301975975975976
178,0.33233233233233234,0.33333233233233234,1.82982982982983,1.8308298298298298,,1.2939699699699698
179,0.32432432432432434,0.32532432432432434,1.8258258258258258,1.8268258258258256,,1.285963963963964
180,0.3163163163163163,0.3173163163163163,1.8218218218218218,1.8228218218218217,,1.2779579579579579
181,0.3083083083083083,0.3093083083083083,1.8178178178178177,1.8188178178178176,,1.2699519519519518
182,0.3003003003003003,0.3013003003003003,1.8138138138138138,1.8148138138138137,,1.261945945945946
183,0.2922922922922923,0.2932922922922923,1.8098098098098099,1.8108098098098098,,1.2539399399399398
184,0.2802802802802803,0.2812802802802803,1.8058058058058057,1.8068058058058056,,1.245933933933934
185,0.27227227227227224,0.27327227227227224,1.8018018018018018,1.8028018018018017,,1.2379279279279278
186,0.26426426426426425,0.26526426426426425,1.7977977977977977,1.7987977977977976,,1.2299219219219217
187,0.25225225225225223,0.25325225225225223,1.7937937937937938,1.7947937937937937,,1.2219159159159159
188,0.24424424424424424,0.24524424424424424,1.7897897897897899,1.7907897897897898,,1.2099069069069068
189,0.23223223223223222,0.23323223223223222,1.7857857857857857,1.7867857857857856,,1.2019009009009007
190,0.22022022022022023,0.22122022022022023,1.7817817817817818,1.7827817817817817,,1.1938948948948949
191,0.2122122122122122,0.2132122122122122,1.7817817817817818,1.7827817817817817,,1.1858888888888888
192,0.20020020020020018,0.20120020020020019,1.7777777777777777,1.7787777777777776,,1.1738798798798797
193,0.1881881881881882,0.1891881881881882,1.7737737737737738,1.7747737737737737,,1.1658738738738739
194,0.17617617617617617,0.17717617617617618,1.7697697697697699,1.7707697697697697,,1.1578678678678678
195,0.16416416416416416,0.16516416416416416,1.7657657657657657,1.7667657657657656,,1.1458588588588587
196,0.15215215215215216,0.15315215215215217,1.7617617617617618,1.7627617617617617,,1.1378528528528526
197,0.14014014014014015,0.14114014014014015,1.7577577577577577,1.7587577577577576,,1.1258438438438438
198,0.12412412412412413,0.12512412412412413,1.7537537537537538,1.7547537537537536,,1.1178378378378377
199,0.11211211211211211,0.11311211211211211,1.7497497497497498,1.7507497497497497,,1.1058288288288287
200,0.10010010010010009,0.1011001001001001,1.7457457457457457,1.7467457457457456,,1.0978228228228226
201,0.08408408408408408,0.08508408408408408,1.7417417417417418,1.7427417417417417,,1.0858138138138138
202,0.06806806806806806,0.06906806806806806,1.7377377377377377,1.7387377377377375,,1.0778078078078077
203,0.056056056056056056,0.057056056056056056,1.7337337337337337,1.7347337337337336,,1.0657987987987987
204,0.04004004004004004,0.04104004004004004,1.7297297297297298,1.7307297297297297,1.053053053053053,1.054053053053053
205,0.024024024024024024,0.025024024024024025,1.7257257257257257,1.7267257257257256,1.045045045045045,1.046045045045045
206,0.004004004004004004,0.005004004004004004,1.7217217217217218,1.7227217217217217,1.033033033033033,1.034033033033033
207,0.0,0.001,1.7177177177177176,1.7187177177177175,1.021021021021021,1.022021021021021
208,0.0,0.001,1.7177177177177176,1.7187177177177175,1.009009009009009,1.0100090090090088
209,0.0,0.001,1.7137137137137137,1.7147137137137136,0.996996996996997,0.997996996996997
210,0.0,0.001,1.7097097097097096,1.7107097097097095,0.984984984984985,0.985984984984985
211,0.0,0.001,1.7057057057057057,1.7067057057057056,0.9729729729729729,0.9739729729729729
212,0.0,0.001,1.7017017017017018,1.7027017017017017,0.960960960960961,0.961960960960961
213,0.0,0.001,1.6976976976976976,1.6986976976976975,0.948948948948949,0.949948948948949
214,0.0,0.001,1.6936936936936937,1.6946936936936936,0.9369369369369369,0.9379369369369369
215,0.0,0.001,1.6896896896896896,1.6906896896896895,0.9209209209209209,0.9219209209209209
216,0.0,0.001,1.6856856856856857,1.6866856856856856,0.9089089089089089,0.9099089089089089
217,0.0,0.001,1.6816816816816818,1.6826816816816816,0.8968968968968969,0.8978968968968969
218,0.0,0.001,1.6776776776776776,1.6786776776776775,0.8808808808808809,0.8818808808808809
219,0.0,0.001,1.6736736736736737,1.6746736736736736,0.8688688688688688,0.8698688688688688
220,0.0,0.001,1.6696696696696696,1.6706696696696695,0.8528528528528528,0.8538528528528528
221,0.0,0.001,1.6656656656656657,1.6666656656656655,0.8408408408408409,0.8418408408408409
222,0.0,0.001,1.6656656656656657,1.6666656656656655,0.8248248248248248,0.8258248248248248
223,0.0,0.001,1.6616616616616617,1.6626616616616616,0.8088088088088088,0.8098088088088088
224,0.0,0.001,1.6576576576576576,1.6586576576576575,0.7967967967967968,0.7977967967967968
225,0.0,0.001,1.6536536536536537,1.6546536536536536,0.7807807807807807,0.7817807807807807
226,0.0,0.001,1.6496496496496496,1.6506496496496494,0.7647647647647647,0.7657647647647647
227,0.0,0.001,1.6456456456456456,1.6466456456456455,0.7487487487487487,0.7497487487487488
228,0.0,0.001,1.6416416416416417,1.6426416416416416,0.7327327327327328,0.7337327327327328
229,0.0,0.001,1.6376376376376376,1.6386376376376375,0.7167167167167167,0.7177167167167167
230,0.0,0.001,1.6336336336336337,1.6346336336336336,0.7007007007007007,0.7017007007007007
231,0.0,0.001,1.6296296296296295,1.6306296296296294,0.6846846846846847,0.6856846846846847
232,0.0,0.001,1.6256256256256256,1.6266256256256255,0.6646646646646647,0.6656646646646647
233,0.0,0.001,1.6256256256256256,1.6266256256256255,0.6486486486486487,0.6496486486486487
234,0.0,0.001,1.6216216216216217,1.6226216216216216,0.6326326326326326,0.6336326326326326
235,0.0,0.001,1.6176176176176176,1.6186176176176175,0.6126126126126126,0.6136126126126126
236,0.0,0.001,1.6136136136136137,1.6146136136136136,0.5965965965965966,0.5975965965965966
237,0.0,0.001,1.6096096096096095,1.6106096096096094,0.5765765765765766,0.5775765765765766
238,0.0,0.001,1.6056056056056056,1.6066056056056055,0.5565565565565566,0.5575565565565566
239,0.0,0.001,1.6016016016016015,1.6026016016016014,0.5365365365365365,0.5375365365365365
240,0.0,0.001,1.5975975975975976,1.5985975975975975,0.5205205205205206,0.5215205205205206
241,0.0,0.001,1.5935935935935936,1.5945935935935935,0.5005005005005005,0.5015005005005005
242,0.0,0.001,1.5895895895895895,1.5905895895895894,0.4804804804804805,0.4814804804804805
243,0.0,0.001,1.5895895895895895,1.5905895895895894,0.46046046046046046,0.46146046046046046
244,0.0,0.001,1.5855855855855856,1.5865855855855855,0.44044044044044045,0.44144044044044045
245,0.0,0.001,1.5815815815815815,1.5825815815815814,0.42042042042042044,0.42142042042042044
246,0.0,0.001,1.5775775775775776,1.5785775775775774,0.3963963963963964,0.3973963963963964
247,0.0,0.001,1.5735735735735736,1.5745735735735735,0.3763763763763764,0.3773763763763764
248,0.0,0.001,1.5695695695695695,1.5705695695695694,0.3563563563563564,0.3573563563563564
249,0.0,0.001,1.5655655655655656,1.5665655655655655,0.3363363363363363,0.3373363363363363
250,0.0,0.001,1.5615615615615615,1.5625615615615613,0.3123123123123123,0.3133123123123123
251,0.0,0.001,1.5575575575575575,1.5585575575575574,0.2922922922922923,0.2932922922922923
252,0.0,0.001,1.5575575575575575,1.5585575575575574,0.27227227227227224,0.27327227227227224
253,0.0,0.001,1.5535535535535536,1.5545535535535535,0.24824824824824826,0.24924824824824826
254,0.0,0.001,1.5495495495495495,1.5505495495495494,0.22822822822822822,0.22922822822822822
255,0.0,0.001,1.5455455455455456,1.5465455455455455,0.2042042042042042,0.2052042042042042
